row_num,name,start_name,distance,mass,radius,gravity
0,54 Piscium,B,0.034460626800000005,5.446439,7.753255341371332e-14,7.753255341371332e-14
1,AB Pictoris,b,0.0635755608,1.3873004999999998,2.2046279878109413e-12,2.2046279878109413e-12
2,CD−33°7795,b,0.15567421104,2.0552599999999996,2.4596274757118986e-12,2.4596274757118986e-12
3,CT Chamaeleontis,b,0.5135683440000001,1.7469709999999998,1.1230861130275087e-11,1.1230861130275087e-11
4,Eta Coronae Borealis,C,0.055652480399999996,6.474068999999999,8.861680342621197e-14,8.861680342621197e-14
5,G 196-3,b,0.047920317600000005,2.5690749999999998,4.845653148128027e-13,4.845653148128027e-13
6,Gliese 570,D,0.018137172,5.343675999999999,4.2391183147602134e-14,4.2391183147602134e-14
7,GU Piscium,b,0.14824751640000003,1.130393,7.743097176421202e-12,7.743097176421202e-12
8,HD 100546,b,0.321934803,2.0552599999999996,5.0865180658807806e-12,5.0865180658807806e-12
9,HN Pegasi,B,0.055652480399999996,2.877364,4.4862256734519804e-13,4.4862256734519804e-13
10,UScoCTIO 108,b,0.451520124,1.438682,1.4559071996863034e-11,1.4559071996863034e-11
11,WD 0137-349,B,0.31501404,5.446439,7.087463331447478e-13,7.087463331447478e-13
12,HD 41004 B,b,0.132687732,1.8908391999999998,2.4768960385044317e-12,2.4768960385044317e-12
13,HD 149382,b,0.230055708,1.5928265,6.051767999276848e-12,6.051767999276848e-12
14,Xi Ursae Majoris B,b,0.02396970468,3.802231,1.1065521565081414e-13,1.1065521565081414e-13
15,Upsilon Andromedae,Samh,0.0419064132,1.43662674,1.3551232660741693e-12,1.3551232660741693e-12
16,Gliese 758,B,0.0495431172,2.363549,5.918890562227568e-13,5.918890562227568e-13
17,HD 112758,b,0.051366380280000005,3.5967049999999996,2.650058906219704e-13,2.650058906219704e-13
18,BD−04°782,b,0.0635755608,2.158023,9.110962602688072e-13,9.110962602688072e-13
19,HD 110833,b,0.05292235872,1.7469709999999998,1.157321451788942e-12,1.157321451788942e-12
20,HD 89707,b,0.07783710552,5.549201999999999,1.6869872947269535e-13,1.6869872947269535e-13
21,Tau Geminorum,b,0.288285576,1.8600103000000001,5.5613268163520915e-12,5.5613268163520915e-12
22,HAT-P-13,c,0.6663024240000001,1.5619975999999998,1.822623103388775e-11,1.822623103388775e-11
23,HD 217580,b,0.0560343156,6.16578,9.837035185477366e-14,9.837035185477366e-14
24,HD 16760,b,0.155597844,1.4695109,4.808882368375222e-12,4.808882368375222e-12
25,HD 13189,b,0.5759983992,1.438682,1.8572820386695885e-11,1.8572820386695885e-11
26,HD 18445,b,0.08010902496000001,4.007757,3.3286251132133527e-13,3.3286251132133527e-13
27,HD 8673,b,0.119084853,1.438682,3.839839813126138e-12,3.839839813126138e-12
28,NGC 4349-127,b,6.774711036,2.0347074,1.0921267610491294e-10,1.0921267610491294e-10
30,HD 29587,b,0.14010488076000002,4.110519999999999,5.534086408668068e-13,5.534086408668068e-13
31,ChaHα8,b,0.498294936,1.8497339999999998,9.719728121936752e-12,9.719728121936752e-12
32,COROT-20,c,3.818352,1.7469709999999998,8.350082624739841e-11,8.350082624739841e-11
33,HD 168443,c,0.117891618,3.4939419999999997,6.445220025971065e-13,6.445220025971065e-13
34,HD 38529 A,c,0.131733144,3.802231,6.081409701239486e-13,6.081409701239486e-13
35,Epsilon Indi,Bb,0.011264138400000002,2.877364,9.080182323624937e-14,9.080182323624937e-14
36,HW Virginis,b,0.56320692,1.97613249,9.625472719624891e-12,9.625472719624891e-12
37,DT Virginis,c,0.0358447794,1.2845374999999999,1.4498348662327283e-12,1.4498348662327283e-12
38,HD 4113,C,0.129823968,6.16578,2.2791086630748245e-13,2.2791086630748245e-13
39,Gliese 229,B,0.018137172,4.110519999999999,7.164109951944762e-14,7.164109951944762e-14
41,Epsilon Indi,Ba,0.011264138400000002,4.829860999999999,3.222663169634202e-14,3.222663169634202e-14
42,HD 131664,b,0.1725895104,1.8651484499999997,3.31111139374061e-12,3.31111139374061e-12
43,HD 136118,b,0.163234548,4.316046,5.848253021995722e-13,5.848253021995722e-13
44,HD 140913,b,0.14931665496,4.727098,4.45969586581713e-13,4.45969586581713e-13
46,HD 162020,b,0.09732024660000001,1.541445,2.7335897435350396e-12,2.7335897435350396e-12
47,Nu Ophiuchi,b,0.14586104640000003,2.2505097,1.922045873951813e-12,1.922045873951813e-12
48,HD 164427,b,0.12172906176,4.727098,3.6357269966052963e-13,3.6357269966052963e-13
50,COROT-3,b,2.11918536,2.22584658,2.854727733389832e-11,2.854727733389832e-11
51,15 Sagittae,B,0.0550797276,6.679595,8.239061111971849e-14,8.239061111971849e-14
52,Zeta Delphini,B,0.21000936,5.651965,4.3875888700905705e-13,4.3875888700905705e-13
53,HD 202206,b,0.14427643031999998,1.7880761999999997,3.011684998051418e-12,3.011684998051418e-12
54,0.000015813,1,1,1,6.674e-11,6.674e-11
57,0004.4,1.1,1.2,2,2.0021999999999997e-11,2.0021999999999997e-11
58,0037,1.1,26,170,6.004290657439446e-14,6.004290657439446e-14
59,0025,2.2,2.7,50,7.20792e-14,7.20792e-14
60,0043,2.6,12,150,3.559466666666666e-14,3.559466666666666e-14
62,0011.4,1.5,1.9,7.7,2.1387417777028163e-12,2.1387417777028163e-12
66,0017,1.8,1.8,10.5,1.0896326530612244e-12,1.0896326530612244e-12
68,0065,1.5,44,520,1.0860059171597632e-14,1.0860059171597632e-14
71,0034,1.9,8.8,43,3.176376419686317e-13,3.176376419686317e-13
72,0025,1.9,1.8,16.6,4.3595587167948895e-13,4.3595587167948895e-13
75,0077,3.8,3.1,290,2.460095124851367e-15,2.460095124851367e-15
78,0052,2.8,2.4,30,1.779733333333333e-13,1.779733333333333e-13
79,0088,1.5,84,820,8.33753718024985e-15,8.33753718024985e-15
81,0130,5.0,4.2,700,5.720571428571428e-16,5.720571428571428e-16
82,0110,3.5,6.8,290,5.396337693222353e-15,5.396337693222353e-15
85,0101,4.0,3.4,260,3.3567455621301773e-15,3.3567455621301773e-15
86,0081,2.9,4.2,110,2.3165950413223137e-14,2.3165950413223137e-14
88,0120,4.25,30,300,2.2246666666666667e-14,2.2246666666666667e-14
92,0140,3.5,6.8,360,3.5017901234567897e-15,3.5017901234567897e-15
95,081,2.39,2.77,50,7.394792e-14,7.394792e-14
97,0109,2.8,3.3,120,1.5294583333333332e-14,1.5294583333333332e-14
99,0080,2.4,2.9,90,2.3894567901234565e-14,2.3894567901234565e-14
102,0180,3.0,50,780,5.484878369493754e-15,5.484878369493754e-15
107,011.9,0.783,0.893,0.52,2.2040983727810647e-10,2.2040983727810647e-10
108,019.92,0.991,1.22,1.22,5.470491803278688e-11,5.470491803278688e-11
109,010.48,0.82,0.74,0.34,4.27228373702422e-10,4.27228373702422e-10
114,044.25,1.27,1.48,3.57,7.750174579635776e-12,7.750174579635776e-12
118,011.41,0.7,0.665,0.153,1.895941731812551e-09,1.895941731812551e-09
120,0281,1.59,3.74,38,1.728584487534626e-13,1.728584487534626e-13
122,036.1,0.76,0.94,0.52,2.3201035502958573e-10,2.3201035502958573e-10
125,012.87,0.6,0.51,0.072,6.565856481481482e-09,6.565856481481482e-09
128,0130,0.8,3.4,1.06,2.0195443218227122e-10,2.0195443218227122e-10
133,05.98,0.14,0.20,0.0035,1.0896326530612245e-06,1.0896326530612245e-06
135,04.25,0.12,0.15,0.0017,3.4640138408304493e-06,3.4640138408304493e-06
136,"01,470",1.43,1.58,4.68,4.8145043465556294e-12,4.8145043465556294e-12
141,"02,772",1.01,0.99,0.98,6.87969596001666e-11,6.87969596001666e-11
142,047.5,0.16,0.21,0.0033,1.2869972451790632e-06,1.2869972451790632e-06
144,018.72,0.075,0.10,0.0004,4.17125e-05,4.17125e-05
146,039.6,0.089,0.12,0.0005,3.2035199999999994e-05,3.2035199999999994e-05
147,040.3,0.07,0.086,0.00013,0.0003396236686390533,0.0003396236686390533
